hash,author,date,title,description
df665a2,Eric Brasil,2023-08-11,"Finalização do nb sobre gimagereader.",""
75049c1,Eric Brasil,2023-08-10,"Correções de sintaxe md",""
f0164f9,Eric Brasil,2023-08-10,"inclusão das comparações de ocr do BE 1 e 2",""
77b0a10,Eric Brasil,2023-08-10,"Criação de pasta geral de imagens dos ocrs",""
496a7a7,Eric Brasil,2023-08-10,"diretórios com imagens e outputs do gIR",""
b32e172,Eric Brasil,2023-08-10,"Atualização do nb sobre gIamgeReader.","Reorganização da estrutura das pastas. Avanço do tutorial até comparação
dos resultados de layout e parte da comparação do resultado do OCR.
"
b7b2c00,Eric Brasil,2023-08-08,"instalação do gImageReader",""
a766135,Eric Brasil,2023-08-07,"Exclusão dos ficheiros antigos sobre PH",""
de62761,Eric Brasil,2023-08-07,"Criação dos notebooks para gIR e TR",""
c76d723,Eric Brasil,2023-08-07,"Merge pull request #43 from ericbrasiln/18-ocr","18 ocr"
965a203,Eric Brasil,2023-08-07,"Merge pull request #41 from ericbrasiln/ph-ocr","Finalização da documentação sobre tutoriais do PH"
06ea86a,Eric Brasil,2023-08-07,"Finalização da documentação sobre tutoriais do PH",""
ab33ebf,Eric Brasil,2023-08-07,"Exclusão do dir layoutparser","Após leitura inicial e avaliação da documentação, entendi que não seria possível tester o programa com a configuração atual do meu computador, pois o programa tem versões antigas do CUDA e não são compatíveis com a versão atual do meu GPU.
"
6e1d1b6,Eric Brasil,2023-08-07,"Criação da versão ipynb e html do ocrd_aval.md",""
02d2bf0,Eric Brasil,2023-08-07,"Merge pull request #40 from ericbrasiln/kraken","Kraken"
beb0bd6,Eric Brasil,2023-08-07,"finalização do nb sobre kraken",""
8b3c3d7,Eric Brasil,2023-08-07,"resultado de ocr no boletim de eugenia",""
4c4647f,Eric Brasil,2023-08-07,"Imagem de exemplo do boletim de eugenia",""
eb3381f,Eric Brasil,2023-08-06,"Primeiros testes com kraken",""
fe5d0ea,Eric Brasil,2023-08-05,"Infos sobre instalação do ocrd",""
cc0e6bc,Eric Brasil,2023-08-04,"Informações sobre processadores de ocr",""
6eda947,Eric Brasil,2023-08-04,"Merge pull request #39 from ericbrasiln/bnpd-scraper","Bnpd scraper"
4afaa71,Eric Brasil,2023-08-04,"inclusão de versão html do ipynb",""
7b9d6ad,Eric Brasil,2023-08-04,"Atualização do selenium","Não precisa mais webdriver-manager.
Inclusão de novas opções para o driver.
"
f91fbad,Eric Brasil,2023-08-04,"Novos dados de testes e documentação do OCRD",""
975c8b8,Eric Brasil,2023-08-04,"Exclusão de testes antigos com ocrd",""
55bb37e,Eric Brasil,2023-08-04,"Exclusão de dir redundantes",""
4050d34,Eric Brasil,2023-07-18,"Início de testes com OCR-D",""
ea56aa9,Eric Brasil,2023-07-15,"Atualização links proghist",""
225fee4,Eric Brasil,2023-07-15,"Merge branch 'main' into 18-ocr",""
23b2e34,Eric Brasil,2023-07-15,"Atualização da plainlha de logs","Comando utilizado: `git log --pretty=format:'%h,%an,%as,"%s","%b"' > log_main.csv`
"
e9b2be7,Eric Brasil,2023-07-15,"Merge pull request #37 from ericbrasiln/30-scrapers","30 scrapers"
a8abba9,Eric Brasil,2023-07-15,"Atualização do README.md dos scrapers",""
a5d7d9d,Eric Brasil,2023-07-15,"Conclusão do código","scrapper_bndpt concluido e testado.
"
81766e6,Eric Brasil,2023-07-15,"Atualização do gitignore","Inclusão de ficheiros de resultado do scraper da bnd-pt em formato json
"
cabad9a,Eric Brasil,2023-07-13,"Primeira versão scraper_bnppt","Raspagem inicial da lista de resultados.
"
d972674,Eric Brasil,2023-07-13,"Merge pull request #36 from ericbrasiln/dados-hdb","Dados hdb"
0697258,Eric Brasil,2023-07-13,"Revisão final","Revisão geral do noteboook.
Inclusão de versão atualizada do html.
dataframe final com dados limps.
"
1fe8a89,Eric Brasil,2023-07-13,"exclusão do arquivo xml","Aguardando informações sobre licença de uso pela BNDigital
"
86e787c,Eric Brasil,2023-07-13,"Inclusão de xml no .gitignore","Enquanto não há confirmação de licença para publicação do xml pela BNDigital, manter o arquivo no .gitignore.
"
2309568,Eric Brasil,2023-07-13,"Análise das décadas e palavras nos títulos","Gráficos e análise das palavras mais frequentes em títulos e subtítulos.
Análise das décadas.
criação de html
"
e7cd76e,Eric Brasil,2023-07-12,"Atualização cidades e editoras","criação de gráficos e html.
"
8398c1b,Eric Brasil,2023-07-12,"Atualização da análise dos dados da hdb","Análsie de local, datas, periodicidade.
criação dos gráficos.
"
ecf9b8f,Eric Brasil,2023-07-11,"Atualização do notebook com análise HDB",""
4145998,Eric Brasil,2023-07-10,"Inclusão de dados da HDB","Dados enviados pela HDB em formato xml.
Início do tratamento e análise dos dados.
"
2606ce8,Eric Brasil,2023-07-10,"Atualização do Reademe",""
dd777fe,Eric Brasil,2023-06-22,"Atualização do README.md",""
775f1d9,Eric Brasil,2023-06-22,"Correções do scraper_hml","inclusão de dir com os dados e correção dos caminhos
"
f0868c3,Eric Brasil,2023-06-22,"Merge pull request #34 from ericbrasiln/29-tutoriais-ph","29 tutoriais ph"
7af9788,Eric Brasil,2023-06-22,"Realocação do scrapper_hml","arquivo movido para diretório ferramentas_metodologicas.
Atualização dos links nos demais arquivos.
"
fe9048e,Eric Brasil,2023-06-22,"Inclusão de lição sobre Git",""
8640548,Eric Brasil,2023-06-21,"Inclusão de dir para ocr/olr tools",""
b0aa5f7,Eric Brasil,2023-06-20,"Atualização dos tutoriais ph","Inclusão dos resumos nas lições indicadas.
Atualização do README.md
"
d9ef6d1,Eric Brasil,2023-06-20,"Atualização do doc sobe lições ph",""
e7dd33a,Eric Brasil,2023-06-19,"Atualização do csv com log","csv com os dados do log a partir do branch main.

Comando utilizado: `git log --pretty=format:'%h,%an,%as,"%s","%b"' > log_main.csv`
"
a32c808,Eric Brasil,2023-06-19,"Criação de ficheiros para tutoriais",""
2d3a795,Eric Brasil,2023-06-19,"Merge branch 'main' into 18-ocr",""
d39a483,Eric Brasil,2023-06-19,"Listagem de lições","Inclusão da lista de lições do README.md.
"
829a72a,Eric Brasil,2023-06-19,"atualização do gitignore","caminho correto para ignorar pasta de relatórios
"
eae5869,Eric Brasil,2023-06-19,"Merge pull request #28 from ericbrasiln:20-registros-met","Registros metetodológicos"
44b80e4,Eric Brasil,2023-06-19,"Reestruturação do diretório","Nova estrutura padronizada e renomeação de ficheiros.
"
ff97393,Eric Brasil,2023-06-19,"Finalização do programa para relatórios",""
568f166,Eric Brasil,2023-06-19,"Atualização do status das lições",""
a2b179c,Eric Brasil,2023-06-19,"Atualização do ignore","Ignorar pasta de reports
"
a441f15,Eric Brasil,2023-06-19,"Merge branch 'main' into 20-registros-met","Atualização do branch 20-resgistros-met com os dados atuais do main.
"
999043d,Eric Brasil,2023-06-16,"Merge pull request #27 from ericbrasiln/26-interfaces","Análise das interfaces (método de revisão do projeto impresso)"
de6710d,Eric Brasil,2023-06-16,"Atualização geral da estrutura","Padronização dos diretórios.
Criação de gráficos em png.
Criação de html dos nb.
"
7d4fc83,Eric Brasil,2023-06-16,"Análise com método Impresso Review","Inclusão de diretório com método Impresso Review.
Notebooks, códigos e modelos.
Realizei a conversão dos meus dados para o modelo.
Adaptei os nbs e funções.
Execução do modelo.
Exportação dos gráficos em png e pdf e do nb em html.
Atualização do nob interfaces_analise.ipynb.
"
3ec870b,Eric Brasil,2023-06-14,"Atualização da análise das interfaces","incorporação do texto de criterios_ava.md para o nb. excluir do md.
"
5ef5a50,Eric Brasil,2023-06-14,"Merge pull request #25 from ericbrasiln/24-doc_forms","Issue 24"
c2019b4,Eric Brasil,2023-06-14,"Finalização do nb HML",""
14bb84f,Eric Brasil,2023-06-14,"Atualização da análise HML",""
b8bc27d,Eric Brasil,2023-06-14,"Atualização da análise das interfaces","atualização do readme e criação do nb para análise do formulário de availação das interfaces.
"
53fbc93,Eric Brasil,2023-06-14,"Atualização da estrutura","Renomeação da pasta dos formulários de avaliação.
Atualizaçã0 dos links no README.md
"
c62f96d,Eric Brasil,2023-06-14,"início do nb da HML",""
3287675,Eric Brasil,2023-06-14,"Finalização do nb BND-PT","Atualização do nb para  mesmo padrão da HDB;
Exclusão da versão antiga do md.
"
65241c9,Eric Brasil,2023-06-14,"Pequenas correções no nb HDB",""
30df258,Eric Brasil,2023-06-14,"Atualização do .gitignore","Pasta de configurações do vscode.
"
65b7e96,Eric Brasil,2023-06-13,"Renomeação das pastas","Padronização da estrutura e nomenclaturas de ficheiros.
"
053aa21,Eric Brasil,2023-06-13,"Atualização do README.md","Texto e links corretos
"
372d242,Eric Brasil,2023-06-13,"Finalização no notebook da HDB","Análise dos dados e documentação atualizada e reunida no notebook (esse será o notebook de referência para BND-PT e HML).
"
8954011,Eric Brasil,2023-06-05,"Criação do csv com log","csv com os dados do log a partir do branch main.

Comando utilizado: `git log --pretty=format:'%h,%an,%as,"%s","%b"' > log_main.csv`
"
1c5c5d5,Eric Brasil,2023-06-05,"Pequena correção ortográfica",""
d7bf19f,Eric Brasil,2023-06-05,"Criação de gráfico de barras para bnd-pt",""
dbe5d69,Eric Brasil,2023-06-05,"Criação dos ficheiros","Ficheiros para documentar resultados de análises sobre bnd-pt e hem-lis
"
9b27a7a,Eric Brasil,2023-06-05,"Merge pull request #23 from ericbrasiln/22-fill-forms","Preenchimento dos formulários e análise dos respositórios"
6456f25,Eric Brasil,2023-06-05,"Preenchimento do Formulário","Finalização para as três bibliotecas
"
50151b3,Eric Brasil,2023-06-05,"Finalização da limpeza dos dados","Criação de csv com os dados limpos
"
d6a3656,Eric Brasil,2023-06-04,"Limpeza da coluna datas e local","Lista de datas e início da limpeza dos dados sobre local.
Reorganizaçãod as colunas do dataframe.
Novo arquivo csv gerado.
"
4f0cd17,Eric Brasil,2023-06-04,"Raspador atualizado","COleta de título, data, links de pdfs, fichas históricas e quantidade de pdfs.
"
