Título,Anos,Local,Fichas Históricas,Quantidade de PDF,Links dos PDFs
Gazeta Literaria ,['1761'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/../../FichasHistoricas/GazetaLiteraria.pdf,17,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N01/N01_master/GazetaLiterariaN01.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N02/N02_master/GazetaLiterariaN02.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N03/N03_master/GazetaLiterariaN03.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N04/N04_master/GazetaLiterariaN04.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N05/N05_master/GazetaLiterariaN05.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N06/N06_master/GazetaLiterariaN06.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N07/N07_master/GazetaLiterariaN07.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N08/N08_master/GazetaLiterariaN08.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N09/N09_master/GazetaLiterariaN09.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N10/N10_master/GazetaLiterariaN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N11/N11_master/GazetaLiterariaN11.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N12/N12_master/GazetaLiterariaN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N13/N13_master/GazetaLiterariaN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N14/N14_master/GazetaLiterariaN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N15/N15_master/GazetaLiterariaN15.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N16/N16_master/GazetaLiterariaN16.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiteraria/N17/N17_master/GazetaLiterariaN17.pdf']"
Gazeta litteraria do Porto ,['1868'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/../../FichasHistoricas/GazetaLiterariadoPorto.pdf,17,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/Indice/Indice_master/GazetaLiterariadoPorto_Indice.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N01/N01_master/GazetaLiterariadoPortoN01.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N02/N02_master/GazetaLiterariadoPortoN02.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N03/N03_master/GazetaLiterariadoPortoN03.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N04/N04_master/GazetaLiterariadoPortoN04.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N05/N05_master/GazetaLiterariadoPortoN05.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N06/N06_master/GazetaLiterariadoPortoN06.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N07/N07_master/GazetaLiterariadoPortoN07.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N08/N08_master/GazetaLiterariadoPortoN08.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N09/N09_master/GazetaLiterariadoPortoN09.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N10/N10_master/GazetaLiterariadoPortoN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N11/N11_master/GazetaLiterariadoPortoN11.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N12/N12_master/GazetaLiterariadoPortoN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N13/N13_master/GazetaLiterariadoPortoN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N14/N14_master/GazetaLiterariadoPortoN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N15/N15_master/GazetaLiterariadoPortoN15.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/GazetaLiterariadoPorto/N16/N16_master/GazetaLiterariadoPortoN16.pdf']"
e vida académica ,['1935-1938'],Porto,https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/../../FichasHistoricas/Germen.pdf,8,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N01/N01_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N01_JanFev1935.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N02/N02_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N02_MarAbr1935.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/../ARepublicadasLetras/N02/N02_master/ARepublicadasLetrasN02_Mai1875.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N03/N03_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N03_MaiJun1935.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N04/N04_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N04_Jan1936.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N05/N05_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N05_1936.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/../ARepublicadasLetras/N02/N02_master/ARepublicadasLetrasN02_Mai1875.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Germen/N06/N06_master/Germen_RevistadosEstudantesdeMedicinadoPorto_N06_Jan1938.pdf']"
Ginasio ,['1936'],Coimbra,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Ginasio/NEsp/NEsp_master/Ginasio_NEsp_24Mai1936.pdf']
"Goal: semanário ribatejano de desporto, arte, literatura ",['1933'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/../../FichasHistoricas/Goal.pdf,10,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N01/N01_master/GoalN01.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N02/N02_master/GoalN02.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N03/N03_master/GoalN0.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N04/N04_master/GoalN04.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N05/N05_master/GoalN05.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N06/N06_master/GoalN06.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N07/N07_master/GoalN07.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N08/N08_master/GoalN08.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N09/N09_master/GoalN09.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Goal/N10/N10_master/GoalN10.pdf']"
O granadeiro : historia dum assassino ,['1908'],Sem local,Sem Ficha Histórica,1,['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGranadeiro/OGranadeiro_master/OGranadeiro.pdf']
O Grande Elias ,['1903-1904'],Sem local,Sem Ficha Histórica,30,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N01/N01_master/OGrandeEliasN01.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N02/N02_master/OGrandeEliasN2.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N03/N03_master/OGrandeEliasN3.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N04/N04_master/OGrandeEliasN4.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N05/N05_master/OGrandeEliasN5.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N06/N06_master/OGrandeEliasN6.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N07/N07_master/OGrandeEliasN7.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N08/N08_master/OGrandeEliasN8.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N09/N09_master/OGrandeEliasN9.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N10/N10_master/OGrandeEliasN10.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N11/N11_master/OGrandeEliasN11.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N12/N12_master/OGrandeEliasN12.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N13/N13_master/OGrandeEliasN13.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N14/N14_master/OGrandeEliasN14.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N15/N15_master/OGrandeEliasN15.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N16/N16_master/OGrandeEliasN16.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N17/N17_master/OGrandeEliasN17.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N18/N18_master/OGrandeEliasN18.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N19/N19_master/OGrandeEliasN19.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N20/N20_master/OGrandeEliasN20.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N21/N21_master/OGrandeEliasN21.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N22/N22_master/OGrandeEliasN22.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N23/N23_master/OGrandeEliasN23.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N24/N24_master/OGrandeEliasN24.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N25/N25_master/OGrandeEliasN25.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N26/N26_master/OGrandeEliasN26.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N27/N27_master/OGrandeEliasN27.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N28/N28_master/OGrandeEliasN28.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N29/N29_master/OGrandeEliasN29.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OGrandeElias/N30/N30_master/OGrandeEliasN30.pdf']"
"Guiauto ilustrado : automobilismo, sports mecanicos, turismo ",['1929'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/../../FichasHistoricas/Guiauto.pdf,5,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/N01/N01_master/GuiautoIlustrado_N01_31Jul1929.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/N02/N02_master/GuiautoIlustrado_N02_31Ago1929.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/N03/N03_master/GuiautoIlustrado_N03_30Set1929.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/N04/N04_master/GuiautoIlustrado_N04_31Out1929.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Guiauto/N05/N05_master/GuiautoIlustrado_N05_30Nov1929.pdf']"
Homens & factos do dia : semanario da vida mundial ,['1929'],Sem local,Sem Ficha Histórica,2,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/Homens&factosdodia/N01/N01_master/Homens&factosdodia_N01_1929Ago03.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/Homens&factosdodia/N02/Homens&factosdodia_N02_1929Ago10.pdf']"
Homens livres : livres da finança & dos partidos ,['1923'],Lisboa,https://hemerotecadigital.cm-lisboa.pt/Periodicos/HomensLivres/../../FichasHistoricas/HomensLivres.pdf,2,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/HomensLivres/N01/N01_master/HomensLivres_N01_01Dez1923.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/HomensLivres/N02/N02_master/HomensLivres_N02_12Dez1923.pdf']"
A ideia nacional ,['1915'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/../../FichasHistoricas/AIdeiaNacional.pdf,21,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N01/N01_master/AIdeiaNacionalN01_17Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N01/N01_master/AIdeiaNacionalN01_17Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N02/N02_master/AIdeiaNacionalN02_20Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N03/N03_master/AIdeiaNacionalN03_24Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N03/N03_master/AIdeiaNacionalN03_24Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N04/N04_master/AIdeiaNacionalN04_27Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N04/N04_master/AIdeiaNacionalN04_27Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N05/N05_master/AIdeiaNacionalN05_31Mar1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N06/N06_master/AIdeiaNacionalN06_3Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N07/N07_master/AIdeiaNacionalN07_7Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N08/N08_master/AIdeiaNacionalN08_10Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N09/N09_master/AIdeiaNacionalN09_14Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N10/N10_master/AIdeiaNacionalN10_17Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N11/N11_master/AIdeiaNacionalN11_21Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N12/N12_master/AIdeiaNacionalN12_24Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N13/N13_master/AIdeiaNacionalN13_28Abr1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N14/N14_master/AIdeiaNacionalN14_1Mai1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N15/N15_master/AIdeiaNacionalN15_5Mai1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N16/N16_master/AIdeiaNacionalN16_8Mai1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N17/N17_master/AIdeiaNacionalN17_12Mai1915.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIdeiaNacional/N18/N18_master/AIdeiaNacionalN18_15Mai1915.PDF']"
A Ilustração luso-brasileira: jornal universal ,['1856-1859'],Sem local,https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustrLusoBrasil/../../FichasHistoricas/IlustrLusoBr.pdf,3,"['https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustrLusoBrasil/Indices/1856/1856_master/Indice_1856.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustrLusoBrasil/Indices/1858/1858_master/Indice_1858.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustrLusoBrasil/Indices/1859/1859_master/Indice_1859.pdf']"
A illustração popular : chronica semanal ,['1884'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/../../../FichasHistoricas/AIllustracaoPopular.pdf,26,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N01/N01_master/AIllustracaoPopular_N01_01Jul1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N02/N02_master/AIllustracaoPopular_N02_10Jul1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N03/N03_master/AIllustracaoPopular_N03_17Jul1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N04/N04_master/AIlustracaoPopular_N04_24Jul1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N05/N05_master/AIlustracaoPopular_N05_31Jul1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N06/N06_master/AIllustracaoPopular_N06_07Ago1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N07/N07_master/AIllustracaoPopular_N07_14Ago1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N08/N08_master/AIllustracaoPopular_N08_21Ago1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N09/N09_master/AIllustracaoPopular_N09_28Ago1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N10/N10_master/AIllustracaoPopular_N10_04Set1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N11/N11_master/AIllustracaoPopular_N11_11Set1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N12/N12_master/AIllustracaoPopular_N12_18Set1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N13/N13_master/AIllustracaoPopular_N13_25Set1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N14/N14_master/AIllustracaoPopular_N14_01Out1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N15/N15_master/AIllustracaoPopular_N15_09Out1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N16/N16_master/AIllustracaoPopular_N16_16Out1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N17/N17_master/AIllustracaoPopular_N17_23Out1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N18/N18_master/AIllustracaoPopular_N18_30Out1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N19/N19_master/AIllustracaoPopular_N19_06Nov1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N20/N20_master/AIllustracaoPopular_N20_13Nov1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N21/N21_master/AIllustracaoPopular_N21_20Nov1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N22/N22_master/AIllustracaoPopular_N22_27Nov1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N23/N23_master/AIllustracaoPopular_N23_04Dez1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N24/N24_master/AIllustracaoPopular_N24_11Dez1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N25/N25_master/AIllustracaoPopular_N25_18Dez1884.pdf', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIllustracaoPopular/N26/N26_master/AIllustracaoPopular_N26_25Dez1884.pdf']"
Ilustração Portuguesa ,['1903-1993'],Sem local,https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/http://hemerotecadigital.cm-lisboa.pt/FichasHistoricas/IlustracaoPortuguesa.pdf,20,"['https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1903_1904/1903_1904_master/Indice_1903.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1904/1904_master/Indice_1904.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1906/1906_master/Indice_1906.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1907/1907_master/Indice.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1908/1908_master/Indice_1908.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1909/1909_master/Indice_1909.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1910/1910_master/Indice_1910.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1911/1911_master/Indice_1911.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1912/1912_master/Indice_1912.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1913/1913_master/Indice_1913.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1914/1914_master/Indice_1914.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1915/1915_master/Indice1915.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1916/1916_master/Indice_1916.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1917/1917_master/Indice_1917.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1918/1918_master/Indice_1918.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1919/1919_master/Indice_1919.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1920/1920_master/Indice_1920.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1921/1921_master/Indice_1921.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1922/1922_master/Indice_1922.pdf', 'https://hemerotecadigital.cm-lisboa.pt/OBRAS/IlustracaoPort/Indices/1923/1923_master/Indice_1923.pdf']"
A ilustracao portuguesa ,['1884-1890'],Sem local,https://hemerotecadigital.cm-lisboa.pt/Periodicos/AIlustracaoPortuguesa_Semanario_1884_1890/Web_AIlustPort_1884_1890/../../../FichasHistoricas/IlustracaoPortuguesa1884-1890.pdf,0,[]
O Ilustrado ,['1933-1934'],Lourenço Marques,Sem Ficha Histórica,24,"['https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N01/N01_master/OIlustrado_N01_01Abr1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N02/N02_master/OIlustrado_N02_15Abr1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N03/N03_master/OIlustrado_N03_01Mai1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N04/N04_master/OIlustrado_N04_15Mai1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N05/N05_master/OIlustrado_N05_01Jun1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N06/N06_master/OIlustrado_N06_15Jun1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N07/N07_master/OIlustrado_N07_01Jul1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N08/N08_master/OIlustrado_N08_15Jul1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N09/N09_master/OIlustrado_N09_01Ago1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N10/N10_master/OIlustrado_N10_15Ago1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N11/N11_master/OIlustrado_N11_01Set1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N12/N12_master/OIlustrado_N12_15Set1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N13/N13_master/OIlustrado_N13_01Out1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N14/N14_master/OIlustrado_N14_15Out1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N15/N15_master/OIlustrado_N15_01Nov1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N16/N16_master/OIlustrado_N16_15Nov1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N17/N17_master/OIlustrado_N17_23Dez1933.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N18/N18_master/OIlustrado_N18_01Jan1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N19/N19_master/OIlustrado_N19_15Jan1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N20/N20_master/OIlustrado_N20_01Fev1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N21/N21_master/OIlustrado_N21_15Fev1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N22/N22_master/OIlustrado_N22_01Mar1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N23/N23_master/OIlustrado_N23_15Mar1934.PDF', 'https://hemerotecadigital.cm-lisboa.pt/Periodicos/OIlustrado/N24/N24_master/OIlustrado_N24_01Abr1934.PDF']"
