Título,Material,Cód. título,Números de chamada local,Objeto Digital
Jaraguá,Periódico,103085,,per887730
Joinville Esportivo,Periódico,103088,,per887757
Joinvillenser Zeitung,Periódico,103092,,per887765
Jornais antigos da cidade de Caldas-MG,Periódico,101812,,per672238
Jornal Alfredo Wagner,Periódico,103095,,per887803
Jornal Capital das Nascentes,Periódico,103096,,per887811
Jornal da ABI,Periódico,101811,,per546828
Jornal da FAED,Periódico,103097,,per887820
Jornal da Mocidade,Periódico,101804,,per882461
Jornal da mulher,Periódico,103053,,per176966
Jornal da Noite,Periódico,102912,,per890820
Jornal da Semana,Periódico,103086,,per887749
Jornal da Semana,Periódico,103098,,per887838
Jornal das Bellas-Artes,Periódico,101761,,per897019
Jornal de Bellas artes,Periódico,101757,,per897310
Jornal de Caxias,Periódico,101751,,per882470
Jornal de Letras,Periódico,101750,,per111325
Jornal de Tijucas,Periódico,103099,,per887846
Jornal do Beto,Periódico,103100,,per887854
Jornal do Commercio,Periódico,102915,,per111988
Jornal do Commercio,Periódico,103094,,per887790
Jornal do Commercio,Periódico,103101,,per887862
Jornal do Domingo,Periódico,102911,,per890774
Jornal do Penedo,Periódico,101716,,per111589
Jornal do Povo,Periódico,103069,,per892076
Jornal do Povo,Periódico,103102,,per887870
Jornal do Povo,Periódico,103103,,per887889
Jornal do Povo,Periódico,103104,,per887897
Jornal do Progresso,Periódico,101697,,per882488
Jornal do Sinfusc,Periódico,103106,,per887919
Jornal dos Bairros,Periódico,101691,,per882496
Jornal dos Farmaceuticos,Periódico,103105,,per887900
Jornal Escolar Schuler:,Periódico,103066,,per887650
Jornal Esportivo,Periódico,103107,,per887927
JP Noticias,Periódico,103108,,per887935
Jupiter,Periódico,103109,,per887943
Kolonie Zeitung,Periódico,103111,,per887960
Kosmo,Periódico,103112,,per887978
L'Alpino,Periódico,103113,,per887986
L'Italia e L'America Latina,Periódico,101689,,per352136
L'Operaio,Periódico,103126,,per888125
La Colonia,Periódico,103115,,per888001
La Garconne,Periódico,101688,,per410365
La Nuova Urussanga,Periódico,103118,,per888036
La Patria,Periódico,103114,,per887994
La Tribuna,Periódico,103119,,per888044
Lageano,Periódico,103116,,per888010
Laguna,Periódico,103117,,per888028
Lauro Muller,Periódico,103120,,per888052
Lavoura e criação,Periódico,102972,,per177261
Lavoura e criação,Periódico,103039,,per114200
Leitura,Periódico,102946,,per115509
Letras Brasileiras,Periódico,102944,,per114715
Letras Brasileiras,Periódico,103015,,per872547
Liberdade,Periódico,103121,,per888060
Liberdade,Periódico,103122,,per888079
Lidador,Periódico,103123,,per888087
Liga Operaria,Periódico,103124,,per888095
Light,Periódico,103025,,per341177
Lontraner Fastnachts Anzeiger,Periódico,103125,,per888117
Lutas da Maioria,Periódico,103070,,per892122
Luz,Periódico,103127,,per888133
Luz e Sombra,Periódico,102979,,per213004
Magnolia,Periódico,103128,,per888141
Manchete esportiva,Periódico,102947,,per116335
Manchete rural,Periódico,103018,,per473421
Manhã,Periódico,103129,,per888150
Maquis,Periódico,102953,,per116521
Matraca,Periódico,103130,,per888168
Matraca,Periódico,103131,,per888176
Mensageiro,Periódico,102892,,per891479
Mensageiro,Periódico,103132,,per888184
Mequetrefe,Periódico,103133,,per888192
Minerva,Periódico,102997,,per353221
Missões,Periódico,103134,,per888214
Mitteilungen,Periódico,103135,,per888222
Mitteilungen,Periódico,103136,,per888230
Motor,Periódico,102998,,per355933
Movimento,Periódico,103137,,per888249
Municipio de Palhoca,Periódico,103138,,per888257
Município,Periódico,103028,,per891720
Museu Recreativo,Periódico,102993,,per341797
Mysterios do Rio de Janeiro ou Os Ladrões de Casaca,Periódico,102885,,per898163
Nossa Folha,Periódico,103139,,per888265
Nossa terra,Periódico,103146,,per888273
Nosso Jornal,Periódico,103147,,per888281
Nosso Jornal,Periódico,103148,,per888290
Nova-Cruzada,Periódico,103145,,per888338
O Agricultor,Periódico,103071,,per892173
O Argonauta,Periódico,101930,,per884979
O Artista,Periódico,101937,,per884987
O Astro,Periódico,101972,,per885002
O Atalaia,Periódico,101981,,per885010
O Atlantico,Periódico,102931,,per891177
O Azul,Periódico,101982,,per885029
O Barriga Verde,Periódico,101985,,per885037
O Beija Flor,Periódico,101987,,per885045
O Bicho,Periódico,102987,,per332542
O Bilontra,Periódico,102012,,per885053
O Binoculo,Periódico,102016,,per885061
O Bisturi,Periódico,102220,,per885070
O Brasil,Periódico,102225,,per885088
O Brasil Catholico,Periódico,102227,,per885096
O Cacique,Periódico,102228,,per885100
O Caixeiro,Periódico,102243,,per885118
O Campeao,Periódico,102259,,per885126
"O Campeao Portuguez em Lisboa, ou O Amigo do Povo e do Rei Constitucional",Periódico,102901,"P22A,06,06-07",per890324
"O Campeao Portuguez, ou O Amigo so Rei e do Povo",Periódico,102932,"P22A,06,04-05",per891223
O Campo Alegrense,Periódico,102270,,per885134
O Camponez,Periódico,102272,,per885142
O Canoinhas,Periódico,102274,,per885150
O Careca,Periódico,102276,,per885169
O Catharinense,Periódico,102312,,per885193
O Caxiense,Periódico,102887,,per882542
"O Censor Lusitano ou o Mostrador dos poderes politicos, e contrates dos periodicos",Periódico,102933,,per891274
O Censor Provinciano,Periódico,102927,,per890871
O Chapeco,Periódico,102327,,per885207
O Chaveco,Periódico,102402,,per885223
O Chicote,Periódico,102433,,per885231
O Chimpalhaço,Periódico,102437,,per885240
O Cinema,Periódico,102439,,per885258
O Cinematographo,Periódico,102570,,per885266
O Clamor,Periódico,102573,,per885274
O Clamor do Povo,Periódico,102579,,per885282
O Clarao,Periódico,102582,,per885290
O Clarim,Periódico,102584,,per885304
O Clarim,Periódico,102594,,per885320
O Clarim,Periódico,102596,,per885312
O Coisa,Periódico,102614,,per885347
O Coió,Periódico,102604,,per885339
O Colegial,Periódico,102634,,per885371
O Colibri,Periódico,102638,,per885380
O Collegial,Periódico,102616,,per885355
O Collegial,Periódico,102630,,per885363
O Comercio,Periódico,102656,,per885410
O Commentario,Periódico,102984,,per329738
O Commercio,Periódico,102653,,per885398
O Commercio,Periódico,102655,,per885401
O Commercio,Periódico,102663,,per885428
O Commercio,Periódico,102675,,per885436
O Commercio,Periódico,103072,,per892220
O Conciliador,Periódico,102292,,per767654
O Conciliador,Periódico,102677,,per885444
O Conciliador,Periódico,103073,,per892270
"O Conciliador Catharinense : jornal official, noticioso e litterario",Periódico,30809,,per885452
O Condor,Periódico,102692,,per885460
O Constitucional,Periódico,102729,,per885487
O Constitucional,Periódico,102740,,per885495
O Cooperativista,Periódico,102749,,per885509
O Correio,Periódico,102752,,per885517
O Coveiro,Periódico,102754,,per885525
O Crepusculo,Periódico,102758,,per885533
O Criador Paulista,Periódico,103044,,per186082
O Cruzeiro,Periódico,102765,,per885541
O Cruzeiro,Periódico,102768,,per885550
O Cruzeiro,Periódico,102774,,per885568
O Cruzeiro do Sul,Periódico,102800,,per885576
O Curioso,Periódico,102806,,per885592
O Cursilho,Periódico,102808,,per885606
O Debate,Periódico,102822,,per885614
O Defensor do Trabalho,Periódico,102928,,per890928
O Democrata,Periódico,102825,,per885622
O Democrata,Periódico,102839,,per885649
O Democrata,Periódico,102841,,per885657
O Democrata,Periódico,102909,,per885630
O Dente,Periódico,102843,,per885665
O Desporto,Periódico,102859,,per885673
O Desterrense,Periódico,102861,,per885681
O Dever,Periódico,102888,,per885690
O Diabo Coxo,Periódico,102217,,per701513
O Diario,Periódico,102921,,per885720
O Direito,Periódico,102923,,per885738
O Direito,Periódico,102925,,per885746
O Diálogo,Periódico,102917,,per885711
O Domingo,Periódico,102934,,per885762
O Domingo,Periódico,102937,,per891320
O Echo da Serra,Periódico,102935,,per885770
O Echo da Serra,Periódico,102938,,per885789
O Eco,Periódico,102945,,per885797
O Eco D'Africa,Periódico,102929,,per890979
O Eco da Força,Periódico,102949,,per885800
O Economista,Periódico,102930,,per891029
O Elegante,Periódico,102951,,per885819
O Escolar,Periódico,102976,,per885827
O Escolar,Periódico,102978,,per885835
O Escopro,Periódico,102999,,per885843
O Escovado,Periódico,103001,,per885851
O Escudo,Periódico,41945,PR-SOR 01073-01186,per811122
O Escudo,Periódico,103016,,per885886
O Espia,Periódico,103017,,per885894
O Espiao,Periódico,103019,,per885908
O Espiao,Periódico,103031,,per885916
O Espiao,Periódico,103038,,per885924
O Espiao,Periódico,103043,,per885940
O Espião,Periódico,103041,,per885932
O Esporte,Periódico,102586,,per886955
O Estoque,Periódico,102605,,per886556
O Estudante,Periódico,102606,,per888109
O Estudante,Periódico,102607,,per888370
O Estudante,Periódico,102608,,per887781
O Estudante,Periódico,102612,,per888419
O Estudante,Periódico,102618,,per888427
O estudante orleanense,Periódico,102611,,per888400
O Estudo,Periódico,102619,,per888435
O Expositor,Periódico,102620,,per888443
O Facão,Periódico,102621,,per888451
O Ferrao,Periódico,102622,,per888460
O Ferrao,Periódico,102623,,per888478
O filhote da Careta,Periódico,102988,,per339709
O Fiscal,Periódico,102624,,per888486
O Fiscal,Periódico,102625,,per888494
O Florete,Periódico,102626,,per888508
O Futuro,Periódico,102627,,per888516
O Garoto,Periódico,102628,,per888524
O Garoto,Periódico,103056,,per353663
O Gasparense,Periódico,102629,,per888532
O Gato,Periódico,102632,,per888540
O Globo,Periódico,102633,,per888559
O Gymnasiano,Periódico,102635,,per888567
O Homem Livre,Periódico,103050,,per176400
O Ideal,Periódico,102636,,per888575
