Título,Material,Cód. título,Números de chamada local,Objeto Digital
Boletim Informativo do PEE/SE,Periódico,99983,,per884707
Boletim Liberal,Periódico,99992,,per884723
Boletim Mensal da Mortalidade da Cidade do Rio de Janeiro,Periódico,96662,PR-SOR 05957,per736015
Brasileiro Pardo,Periódico,97810,PR-SOR 00514,per702730
Brazil,Periódico,97508,PR-SOR 04185,per365173
Brazil,Periódico,100119,,per884758
Brazil Federal,Periódico,97215,PR-SOR 04178,per716685
Brusquer Zeitung,Periódico,100123,,per884766
Caixa Auxiliar,Periódico,99075,,per885967
Canal Novo,Periódico,99357,,per885975
Capivary,Periódico,96106,PR-SOR 04134,per744522
Caridade,Periódico,99368,,per885983
Carris-Litterarios,Periódico,96060,PR-SOR 06620,per232068
Cartas,Periódico,99413,,per885991
Casa Branca,Periódico,96174,PR-SOR 04154,per742996
Casimiro de Abreu,Periódico,96661,PR-SOR 02659,per736155
Cassandra,Periódico,96649,PR-SOR 03823,per736813
Caturra,Periódico,99414,,per886009
Centro Academico,Periódico,97605,PR-SOR 03708,per705730
Chaleira,Periódico,99418,,per886017
Chronica do Foro,Periódico,96818,PR-SOR 03115-03116,per259209
Chrysalida,Periódico,96647,PR-SOR 04219,per736880
Cicuta,Periódico,90840,PR-SPR 02691-02694,per886025
Cidade de Blumenau,Periódico,99419,,per886033
Cine-semana,Periódico,99420,,per886041
Cine-Theatro,Periódico,99427,,per886050
Civilisacao,Periódico,97655,"P11,04,13",per704334
Clarim,Periódico,99428,,per886068
Clarim,Periódico,99429,,per886076
"Cobaia / Universidade do Vale do Itajai, Faculdade de Comunicacao e Artes",Periódico,99430,,per886084
Cock-Tail,Periódico,99431,,per886092
Colibri,Periódico,99451,,per886106
Collecção de Leis Municipaes e Vetos,Periódico,97958,PR-SPR 02766,per663816
Collegial,Periódico,99452,,per886114
Collegial,Periódico,99453,,per886122
Collegial,Periódico,99454,,per886130
Colombo,Periódico,96176,PR-SOR 04140,per742961
Colombo,Periódico,99480,,per886149
Colonie-Zeitung und Unzeiger für,Periódico,99481,,per886157
Commercial,Periódico,99482,,per886165
Commercial,Periódico,99497,,per886190
Commercial,Periódico,99498,,per886203
Commercio de Blumenau,Periódico,99502,,per886211
Commercio de Caxias,Periódico,97660,PR-SOR 02024,per704300
Commercio de Joinville,Periódico,99483,,per886173
Commercio do Bananal,Periódico,97382,PR-SOR 04153,per712710
Commercio do Parana,Periódico,95829,PR-SPR 02270,per765309
